domain,series_id,t,y,product,lat,lon
subsidence,4Kdbj5ZSD2,2022-03-02,1.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-03-14,1.29999995,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-03-26,3.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-04-07,4.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-04-19,6.0,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-05-01,2.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-05-25,7.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-06-06,5.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-06-18,7.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-06-30,5.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-07-12,5.30000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-07-24,5.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-08-05,8.80000019,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-08-17,7.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-08-29,4.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-09-10,2.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-09-22,3.5999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-10-04,2.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-10-16,5.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-10-28,3.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-11-09,4.19999981,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-11-21,7.5,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-12-03,3.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-12-15,5.0999999,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2022-12-27,8.10000038,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-01-08,-3.9000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-01-20,-4.4000001,A02-075,38.6035881,-28.75266647
subsidence,4Kdbj5ZSD2,2023-02-01,2.79999995,A02-075,38.6035881,-28.75266647
